Number,Location,Author(s),Title,Publisher,Year,ISBN,Notes,Language,Resources,Related Materials,Media
1,E1," Wardlaw, Alvia J.",Charles Alston,San Francisco: Pomegranate,2007,ISBN-13: 9780764937668 ISBN-10: 0764937669," Artist monograph David C. Driskell Series of African American Art, vol. 6",,,,
2,A1," Helfenstein, Josef and Roxanne Stanulis, eds."," Bill Traylor, William Edmondson and the Modernist Impulse"," Champaign: Krannert Art Museum and Kinkead Pavilion; University of Illinois, Urbana-Champaign",2004,ISBN-13: 9781883015350 ISBN-10: 1883015359,Exhibition catalogue,,https://kam.illinois.edu/exhibition/bill- traylor-william-edmondson-and- modernist-impulse,,
3,E1,,A Selection of Japanese Art from The Mary and Jackson Burke Collection,Tokyo: Tokyo National Museum,1985,,Japanese art Asian art Exhibition catalogue,,,,
4,E1," Cole, Herbert M.",Icons: Ideals and Power in the Art of Africa," Washington, DC: Smithsonian Institution Press",1989,ISBN-13: 9780874743210 ISBN-10: 0874743214,African art,,,,
5,E1," Golden, Thelma",Bob Thompson,New York: Whitney Museum of American Art,1998,ISBN-13: 9780520212602 ISBN-10: 0520212606,Artist monograph Exhibition catalogue,,,,
6,E1," Hunter, Sam and John Jacobus"," Modern Art: Paintings, Sculpture, Architecture"," 2nd ed. Englewood Cliffs: Prentice-Hall; New York: Harry N. Abrams, Inc.",1985,ISBN-13: 9780810913493 ISBN-10: 0810913496,Textbook,,,,
7,E1," Tsai, Eugenie, ed.",Kehinde Wiley: A New Republic,Brooklyn: Brooklyn Museum; Munich: DelMonico Books/Prestel,2015,ISBN-13: 9783791354309 ISBN-10: 3791354302,Artist monograph Exhibition catalogue,,https://www.brooklynmuseum.org/exhibitions/kehinde_wiley_new_republic/,,
8,E1," Bell, W. Kamau and Kate Schatz",Do the Work! An Antiracist Activity Book,New York: Workman Publishing,2022,ISBN-13: 9781523514281 ISBN-10: 1523514280,Activity Book,,,,
9,A1," Pascale, Mark",Martin Puryear: Multiple Dimensions,Chicago: Art Institute of Chicago,2015,ISBN-13: 9780300184549 ISBN-10: 0300184549,Artist monograph Exhibition catalogue,,https://www.artic.edu/exhibitions/1280/martin-puryear-multiple-dimensions,,
10,E1," Poniatowska, Elena",Mexican Color," New York: Stewart, Tabori & Chang",1998,ISBN-13: 9789687294056 ISBN-10: 1556708351,Photographs by Amanda Holmes Photography,,,,
11,E2," Schoonmaker, Trevor, ed.",Barkley L. Hendricks: Birth of the Cool,Durham: Nasher Museum of Art,2008,ISBN-13: 9780938989448 ISBN-10: 0938989448,Artist monograph Exhibition catalogue,,https://nasher.duke.edu/exhibitions/barkley-l-hendricks-birth-cool/,,
12,E1," Siegel, Katy"," Odyssey: Jack Whitten Sculpture, 1963-2017",Baltimore: Baltimore Museum of Art; Gregory R. Miller & Co.,2018,ISBN-13: 9781941366172 ISBN-10: 1941366171,Artist monograph Exhibition catalogue Sculpture,,https://www.metmuseum.org/exhibitions/listings/2018/odyssey-jack-whitten-sculpture,,
13,E1," Hall, Jane",Breaking Ground: Architecture by Women,New York; London: Phaidon,2019,ISBN-13: 9780714879277 ISBN-10: 0714879274,Architecture,,,,
14,E1," Elderfield, John",Martin Puryear,New York: Museum of Modern Art,2007,ISBN-13: 9780870707148 ISBN-10: 0870707140,Artist monograph Exhibition catalogue,,https://www.moma.org/calendar/exhibitions/28,,
15,E1," Lewis, Audrey, ed.",Horace Pippin: The Way I See It,Chadds Ford: Brandywine Museum of Art; New York Scala Arts Publisher,2015,ISBN-13: 9781857599411 ISBN-10: 1857599411,Artist monograph Exhibition catalogue,,https://www.brandywine.org/museum/exhibitions/horace-pippin-way-i-see-it,,
16,E1,ADD AUTHOR,Ellen Gallagher: AxMe,London: Tate Publishing,2013,ISBN-13: 9781849761239 ISBN-10: 184976123X,Artist monograph Exhibition catalogue,,https://www.tate.org.uk/whats-on/tate-modern/ellen-gallagher-axme,,
17,E1," Dixon, Annette",Kara Walker: Pictures from Another Time,Ann Arbor: University of Michigan Museum of Art,2002,ISBN-13: 9781891024504 ISBN-10: 1891024507,Artist monograph Exhibition catalogue Walker's first major publication,,,,
18,E1," Schimmel, Paul and Jenni Sorkin, eds."," Revolution in the Making: Abstract Sculpture by Women, 1947-2016",Milan: Skira; New York: Hauser & Wirth,2016,ISBN-13: 9788857230658 ISBN-10: 8857230651,Exhibition catalogue,,https://www.hauserwirth.com/hauser-wirth-exhibitions/5564-revolution-in-the-makingabstract-sculpture-by-women-1947-2016/,,
19,E1," McGrew, Rebecca and Irene Tsatsos, eds.",Alison Saar: Of Aether and Earthe,Claremont: Benton Museum of Art at Pomona College,2020,ISBN-13: 9780997930634 ISBN-10: 0997930632,Artist monograph Exhibition catalogue,,https://www.pomona.edu/museum/exhibitions/2020/alison-saar#%3A~%3Atext%3DHighlighting%20the%20dualities%20that%20are%2Cemphasizes%20this%20idea%20of%20dualities,,
20,E1," Barboza, Anthony, Herb Robinson, and Vincent Alabiso, eds.",Timeless: Photographs by Kamoinge," Atglen: Schiffer Publishing, Ltd.",2015,ISBN-13: 9780764349744 ISBN-10: 0764349740,Artist monograph Photography,,,,
21,E1," Elderton, Louisa and Rebecca Morrill, eds.",Vitamin C: Clay + Ceramic in Contemporary Art,London: Phaidon Press Limited,2017,ISBN-13: 9781838662936 ISBN-10: 1838662936,Ceramics,,,,
22,E1," Wilkes Tucker, Anne, Kokusai Koryu Kikin, Kotaro Iizawa, and Naoyuki Kinoshita, eds.",The History of Japanese Photography,New Haven: Yale University Press; Houston: Museum of Fine Arts Houston,2003,ISBN-13: 9780890901120 ISBN-10: 0890901120,Photography Edited and translated by John Junkerman,,,,
23,E1," Adler, Tracy L., ed.",Elias Sime: Tightrope," Clinton:  Ruth and Elmer Wellin Museum of Art, Hamilton College; Munich: Prestel Books",2019,ISBN-13: 9783791358819 ISBN-10: 3791358812,Artist monograph Exhibition catalogue,,https://www.hamilton.edu/wellin/exhibitions/detail/elias-sime-tightrope,,
24,A3," Schenkenberg, Tamara H., ed.",Ruth Asawa: Life's Work,St. Louis: Pulitzer Arts Foundation; New Haven: Yale University Press,2019,ISBN-13: 9780300242690 ISBN-10: 0300242697,Artist monograph Exhibition catalogue,,https://pulitzerarts.org/art/ruth-asawa/,,
25,E2," Warren, Erica, ed.",Bisa Butler: Portraits,Chicago: Art Institute of Chicago,2020,ISBN-13: 9780300254310 ISBN-10: 0300254318,Artist monograph Exhibition catalogue Butler's first solo museum exhibition and monograph,,https://www.artic.edu/exhibitions/9324/bisa-butler-portraits,,
26,E1," Mayer, Musa",Resilience: Philip Guston in 1971,Zurich: Hauser & Wirth Publishers,2019,ISBN-13: 9783906915470 ISBN-10: 3906915476,Artist monograph Exhibition catalogue,,https://www.hauserwirth.com/hauser-wirth-exhibitions/25268-resilience-philip-guston-1971/,,
27,E3," Finley, Cheryl",Committed to Memory: The Art of the Slave Ship Icon,Princeton: Princeton University Press,2018,ISBN-13: 9780691241067 ISBN-10: 0691241066," Scholarly monograph Art history African American history Transatlantic slavery African Diaspora Included in Alma Lewis exhib. ""Abdul Aziz, Reclaiming Echoes""",,https://press.princeton.edu/books/hardcover/9780691136844/committed-to-memory,,Alma Lewis website Publisher website
28,E1," Llorens, Tomás, Abigail McEwen, and Frederic Tuten",The Worlds of of Joaquín Torres-García,New York: Acquavella Galleries,2018,ISBN-13: 9780847864027 ISBN-10: 0847864022,Artist monograph Exhibition catalogue,,https://www.acquavellagalleries.com/exhibitions/the-worlds-of-joaquin-torres-garcia,,
29,E1," Kamin Rapaport, Brooke, ed.",Martin Puryear: Liberty/Libertà,New York:  Gregory R. Miller & Company,2019,ISBN-13: 9783775746212 ISBN-10: 3775746218,Artist monograph Exhibition catalogue,,https://madisonsquarepark.org/art/exhibitions/martin-puryear-liberty-liberta/,,
