objectid,id,kind,location,creator,title,date,publisher,volume,record company,medium,description,ISBN-10,ISBN-13,OCLC,language,resources,related materials,media,format,filename,source,youtubeid
0,1,book,E1," Wardlaw, Alvia J.",Charles Alston,2007,San Francisco: Pomegranate,,,,"Artist monograph David C. Driskell Series of African American Art, vol. 6",ISBN-10: 0764937669,ISBN-13: 9780764937668,,,,,,image/jpeg,,,
1,2,book,A1," Helfenstein, Josef and Roxanne Stanulis, eds."," Bill Traylor, William Edmondson and the Modernist Impulse",2004," Champaign: Krannert Art Museum and Kinkead Pavilion; University of Illinois, Urbana-Champaign",,,,Exhibition catalogue,ISBN-10: 1883015359,ISBN-13: 9781883015350,,,https://kam.illinois.edu/exhibition/bill- traylor-william-edmondson-and- modernist-impulse,,,image/jpeg,,,
2,3,book,E1,,A Selection of Japanese Art from The Mary and Jackson Burke Collection,1985,Tokyo: Tokyo National Museum,,,,Japanese art Asian art Exhibition catalogue,,,,,,,,image/jpeg,,,
3,4,book,E1," Cole, Herbert M.",Icons: Ideals and Power in the Art of Africa,1989," Washington, DC: Smithsonian Institution Press",,,,African art,ISBN-10: 0874743214,ISBN-13: 9780874743210,,,,,,image/jpeg,,,
4,5,book,E1," Golden, Thelma",Bob Thompson,1998,New York: Whitney Museum of American Art,,,,Artist monograph Exhibition catalogue,ISBN-10: 0520212606,ISBN-13: 9780520212602,,,,,,image/jpeg,,,
5,6,book,E1," Hunter, Sam and John Jacobus"," Modern Art: Paintings, Sculpture, Architecture",1985,"2nd ed. Englewood Cliffs: Prentice-Hall; New York: Harry N. Abrams, Inc.",,,,Textbook,ISBN-10: 0810913496,ISBN-13: 9780810913493,,,,,,image/jpeg,,,
6,7,book,E1," Tsai, Eugenie, ed.",Kehinde Wiley: A New Republic,2015,Brooklyn: Brooklyn Museum; Munich: DelMonico Books/Prestel,,,,Artist monograph Exhibition catalogue,ISBN-10: 3791354302,ISBN-13: 9783791354309,,,https://www.brooklynmuseum.org/exhibitions/kehinde_wiley_new_republic/,,,image/jpeg,,,
7,8,book,E1," Bell, W. Kamau and Kate Schatz",Do the Work! An Antiracist Activity Book,2022,New York: Workman Publishing,,,,Activity Book,ISBN-10: 1523514280,ISBN-13: 9781523514281,,,,,,image/jpeg,,,
8,9,book,A1," Pascale, Mark",Martin Puryear: Multiple Dimensions,2015,Chicago: Art Institute of Chicago,,,,Artist monograph Exhibition catalogue,ISBN-10: 0300184549,ISBN-13: 9780300184549,,,https://www.artic.edu/exhibitions/1280/martin-puryear-multiple-dimensions,,,image/jpeg,,,
9,10,book,E1," Poniatowska, Elena",Mexican Color,1998," New York: Stewart, Tabori & Chang",,,,Photographs by Amanda Holmes Photography,ISBN-10: 1556708351,ISBN-13: 9789687294056,,,,,,image/jpeg,,,
10,11,book,E2," Schoonmaker, Trevor, ed.",Barkley L. Hendricks: Birth of the Cool,2008,Durham: Nasher Museum of Art,,,,Artist monograph Exhibition catalogue,ISBN-10: 0938989448,ISBN-13: 9780938989448,,,https://nasher.duke.edu/exhibitions/barkley-l-hendricks-birth-cool/,,,image/jpeg,,,
11,12,book,E1," Siegel, Katy","Odyssey: Jack Whitten Sculpture, 1963-2017",2018,Baltimore: Baltimore Museum of Art; Gregory R. Miller & Co.,,,,Artist monograph Exhibition catalogue Sculpture,ISBN-10: 1941366171,ISBN-13: 9781941366172,,,https://www.metmuseum.org/exhibitions/listings/2018/odyssey-jack-whitten-sculpture,,,image/jpeg,,,
12,13,book,E1," Hall, Jane",Breaking Ground: Architecture by Women,2019,New York; London: Phaidon,,,,Architecture,ISBN-10: 0714879274,ISBN-13: 9780714879277,,,,,,image/jpeg,,,
13,14,book,E1," Elderfield, John",Martin Puryear,2007,New York: Museum of Modern Art,,,,Artist monograph Exhibition catalogue,ISBN-10: 0870707140,ISBN-13: 9780870707148,,,https://www.moma.org/calendar/exhibitions/28,,,image/jpeg,,,
14,15,book,E1," Lewis, Audrey, ed.",Horace Pippin: The Way I See It,2015,Chadds Ford: Brandywine Museum of Art; New York Scala Arts Publisher,,,,Artist monograph Exhibition catalogue,ISBN-10: 1857599411,ISBN-13: 9781857599411,,,https://www.brandywine.org/museum/exhibitions/horace-pippin-way-i-see-it,,,image/jpeg,,,
15,16,book,E1,ADD AUTHOR,Ellen Gallagher: AxMe,2013,London: Tate Publishing,,,,Artist monograph Exhibition catalogue,ISBN-10: 184976123X,ISBN-13: 9781849761239,,,https://www.tate.org.uk/whats-on/tate-modern/ellen-gallagher-axme,,,image/jpeg,,,
16,17,book,E1," Dixon, Annette",Kara Walker: Pictures from Another Time,2002,Ann Arbor: University of Michigan Museum of Art,,,,Artist monograph Exhibition catalogue Walker's first major publication,ISBN-10: 1891024507,ISBN-13: 9781891024504,,,,,,image/jpeg,,,
17,18,book,E1," Schimmel, Paul and Jenni Sorkin, eds.","Revolution in the Making: Abstract Sculpture by Women, 1947-2016",2016,Milan: Skira; New York: Hauser & Wirth,,,,Exhibition catalogue,ISBN-10: 8857230651,ISBN-13: 9788857230658,,,https://www.hauserwirth.com/hauser-wirth-exhibitions/5564-revolution-in-the-makingabstract-sculpture-by-women-1947-2016/,,,image/jpeg,,,
18,19,book,E1," McGrew, Rebecca and Irene Tsatsos, eds.",Alison Saar: Of Aether and Earthe,2020,Claremont: Benton Museum of Art at Pomona College,,,,Artist monograph Exhibition catalogue,ISBN-10: 0997930632,ISBN-13: 9780997930634,,,https://www.pomona.edu/museum/exhibitions/2020/alison-saar#%3A~%3Atext%3DHighlighting%20the%20dualities%20that%20are%2Cemphasizes%20this%20idea%20of%20dualities,,,image/jpeg,,,
19,20,book,E1," Barboza, Anthony, Herb Robinson, and Vincent Alabiso, eds.",Timeless: Photographs by Kamoinge,2015," Atglen: Schiffer Publishing, Ltd.",,,,Artist monograph Photography,ISBN-10: 0764349740,ISBN-13: 9780764349744,,,,,,image/jpeg,,,
20,21,book,E1," Elderton, Louisa and Rebecca Morrill, eds.",Vitamin C: Clay + Ceramic in Contemporary Art,2017,London: Phaidon Press Limited,,,,Ceramics,ISBN-10: 1838662936,ISBN-13: 9781838662936,,,,,,image/jpeg,,,
21,22,book,E1," Wilkes Tucker, Anne, Kokusai Koryu Kikin, Kotaro Iizawa, and Naoyuki Kinoshita, eds.",The History of Japanese Photography,2003,New Haven: Yale University Press; Houston: Museum of Fine Arts Houston,,,,Photography Edited and translated by John Junkerman,ISBN-10: 0890901120,ISBN-13: 9780890901120,,,,,,image/jpeg,,,
22,23,book,E1," Adler, Tracy L., ed.",Elias Sime: Tightrope,2019," Clinton:  Ruth and Elmer Wellin Museum of Art, Hamilton College; Munich: Prestel Books",,,,Artist monograph Exhibition catalogue,ISBN-10: 3791358812,ISBN-13: 9783791358819,,,https://www.hamilton.edu/wellin/exhibitions/detail/elias-sime-tightrope,,,image/jpeg,,,
23,24,book,A3," Schenkenberg, Tamara H., ed.",Ruth Asawa: Life's Work,2019,St. Louis: Pulitzer Arts Foundation; New Haven: Yale University Press,,,,Artist monograph Exhibition catalogue,ISBN-10: 0300242697,ISBN-13: 9780300242690,,,https://pulitzerarts.org/art/ruth-asawa/,,,image/jpeg,,,
24,25,book,E2," Warren, Erica, ed.",Bisa Butler: Portraits,2020,Chicago: Art Institute of Chicago,,,,Artist monograph Exhibition catalogue Butler's first solo museum exhibition and monograph,ISBN-10: 0300254318,ISBN-13: 9780300254310,,,https://www.artic.edu/exhibitions/9324/bisa-butler-portraits,,,image/jpeg,,,
25,26,book,E1," Mayer, Musa",Resilience: Philip Guston in 1971,2019,Zurich: Hauser & Wirth Publishers,,,,Artist monograph Exhibition catalogue,ISBN-10: 3906915476,ISBN-13: 9783906915470,,,https://www.hauserwirth.com/hauser-wirth-exhibitions/25268-resilience-philip-guston-1971/,,,image/jpeg,,,
26,27,book,E3," Finley, Cheryl",Committed to Memory: The Art of the Slave Ship Icon,2018,Princeton: Princeton University Press,,,," Scholarly monograph Art history African American history Transatlantic slavery African Diaspora Included in Alma Lewis exhib. ""Abdul Aziz, Reclaiming Echoes""",ISBN-10: 0691241066,ISBN-13: 9780691241067,,,https://press.princeton.edu/books/hardcover/9780691136844/committed-to-memory,,Alma Lewis website Publisher website,image/jpeg,,,
27,28,book,E1," Llorens, Tomás, Abigail McEwen, and Frederic Tuten",The Worlds of of Joaquín Torres-García,2018,New York: Acquavella Galleries,,,,Artist monograph Exhibition catalogue,ISBN-10: 0847864022,ISBN-13: 9780847864027,,,https://www.acquavellagalleries.com/exhibitions/the-worlds-of-joaquin-torres-garcia,,,image/jpeg,,,
28,29,book,E1," Kamin Rapaport, Brooke, ed.",Martin Puryear: Liberty/Libertà,2019,New York:  Gregory R. Miller & Company,,,,Artist monograph Exhibition catalogue,ISBN-10: 3775746218,ISBN-13: 9783775746212,,,https://madisonsquarepark.org/art/exhibitions/martin-puryear-liberty-liberta/,,,image/jpeg,,,
29,30,book,E1," Haldemann, Anita, ed.",Kara Walker: A Black Hole is Everything a Star Longs to Be: Drawings 1992-2020,2020,Geneva: JRP Editions,,,,Artist monograph Exhibition catalogue,ISBN-10: 3037645571,ISBN-13: 9783037645574,,,https://kunstmuseumbasel.ch/en/exhibitions/2021/kara-walker,,,image/jpeg,,,
30,31,book,E1," Martin, Lesley A., ed.",LaToya Ruby Frazier: The Notion of Family,2016,New York: Aperture Foundation,,,,Artist monograph Photography,ISBN-10: 1597113816,ISBN-13: 9781597113816,,,,,,image/jpeg,,,
